0.106, 0.031, 0.027, 0.296, 0.024, 0.021, 1.768, 0.154
0.105, 0.032, 0.027, 0.289, 0.022, 0.020, 1.793, 0.157
0.103, 0.031, 0.027, 0.288, 0.023, 0.020, 1.611, 0.154
0.106, 0.032, 0.027, 0.290, 0.024, 0.020, 1.789, 0.171
0.105, 0.031, 0.027, 0.293, 0.023, 0.020, 1.775, 0.156
0.105, 0.032, 0.027, 0.294, 0.022, 0.021, 1.791, 0.157
0.105, 0.032, 0.028, 0.293, 0.023, 0.020, 1.759, 0.161
0.106, 0.032, 0.027, 0.290, 0.022, 0.020, 1.792, 0.157
0.106, 0.032, 0.027, 0.295, 0.023, 0.020, 1.777, 0.159
0.105, 0.031, 0.027, 0.290, 0.022, 0.020, 1.771, 0.162
0.107, 0.032, 0.027, 0.293, 0.024, 0.020, 1.756, 0.157
0.106, 0.032, 0.027, 0.290, 0.023, 0.021, 1.775, 0.155
0.106, 0.032, 0.027, 0.291, 0.024, 0.021, 1.774, 0.160
0.105, 0.030, 0.026, 0.299, 0.023, 0.021, 1.733, 0.156
0.106, 0.032, 0.027, 0.291, 0.022, 0.020, 1.766, 0.156
0.107, 0.030, 0.028, 0.292, 0.023, 0.020, 1.764, 0.155
0.106, 0.032, 0.027, 0.293, 0.022, 0.020, 1.781, 0.157
0.108, 0.032, 0.028, 0.303, 0.024, 0.021, 1.916, 0.159
0.111, 0.033, 0.028, 0.302, 0.024, 0.020, 1.939, 0.161
0.105, 0.032, 0.027, 0.293, 0.023, 0.020, 1.773, 0.155
0.105, 0.031, 0.029, 0.301, 0.023, 0.019, 1.749, 0.166
0.106, 0.031, 0.028, 0.290, 0.023, 0.020, 1.784, 0.174
0.106, 0.032, 0.027, 0.292, 0.023, 0.021, 1.749, 0.156
0.106, 0.032, 0.029, 0.300, 0.023, 0.022, 1.936, 0.160
0.105, 0.031, 0.027, 0.287, 0.021, 0.020, 1.584, 0.150
0.108, 0.032, 0.028, 0.295, 0.024, 0.020, 1.795, 0.165
0.105, 0.031, 0.026, 0.291, 0.023, 0.020, 1.770, 0.162
0.106, 0.033, 0.028, 0.292, 0.023, 0.020, 1.772, 0.154
0.116, 0.033, 0.028, 0.301, 0.023, 0.022, 1.934, 0.164
0.104, 0.032, 0.027, 0.292, 0.023, 0.020, 1.777, 0.162
0.289, 0.094, 0.068, 1.097, 0.062, 0.067, 7.096, 0.460
0.289, 0.095, 0.068, 1.096, 0.061, 0.075, 7.110, 0.470
0.290, 0.094, 0.068, 1.107, 0.063, 0.066, 7.240, 0.474
0.289, 0.093, 0.069, 1.097, 0.061, 0.065, 7.089, 0.463
