imagesize,convtime,magtime,supptime,sorttime,edgetime,hysttime,d2htime,hd2time
256, 0.107, 0.020, 0.026, 0.286, 0.016, 0.015, 1.157, 0.147
256, 0.105, 0.019, 0.028, 0.284, 0.016, 0.016, 1.149, 0.147
256, 0.104, 0.019, 0.026, 0.287, 0.016, 0.015, 1.139, 0.145
256, 0.105, 0.019, 0.026, 0.285, 0.015, 0.015, 1.131, 0.147
256, 0.105, 0.019, 0.026, 0.282, 0.016, 0.015, 1.146, 0.146
256, 0.105, 0.019, 0.026, 0.281, 0.016, 0.015, 1.153, 0.142
256, 0.107, 0.018, 0.027, 0.284, 0.017, 0.015, 1.145, 0.152
256, 0.107, 0.019, 0.026, 0.285, 0.016, 0.015, 1.174, 0.150
256, 0.105, 0.019, 0.026, 0.284, 0.016, 0.015, 1.137, 0.145
256, 0.110, 0.021, 0.027, 0.296, 0.017, 0.016, 1.316, 0.161
256, 0.104, 0.019, 0.026, 0.284, 0.016, 0.015, 1.147, 0.145
256, 0.107, 0.019, 0.025, 0.290, 0.015, 0.016, 1.147, 0.143
256, 0.105, 0.018, 0.026, 0.283, 0.016, 0.015, 1.142, 0.145
256, 0.105, 0.020, 0.026, 0.288, 0.016, 0.016, 1.208, 0.159
256, 0.106, 0.019, 0.026, 0.301, 0.015, 0.016, 1.161, 0.145
256, 0.104, 0.019, 0.026, 0.283, 0.016, 0.015, 1.136, 0.143
256, 0.105, 0.019, 0.027, 0.287, 0.016, 0.016, 1.162, 0.145
256, 0.105, 0.019, 0.026, 0.286, 0.016, 0.015, 1.148, 0.145
256, 0.105, 0.019, 0.026, 0.284, 0.015, 0.015, 1.175, 0.145
256, 0.112, 0.019, 0.026, 0.285, 0.016, 0.015, 1.147, 0.145
256, 0.105, 0.020, 0.026, 0.284, 0.016, 0.016, 1.160, 0.146
256, 0.114, 0.019, 0.026, 0.283, 0.016, 0.015, 1.142, 0.147
256, 0.106, 0.019, 0.026, 0.283, 0.016, 0.015, 1.151, 0.145
256, 0.104, 0.019, 0.027, 0.284, 0.016, 0.015, 1.138, 0.144
256, 0.103, 0.019, 0.026, 0.285, 0.016, 0.015, 1.152, 0.144
256, 0.104, 0.020, 0.026, 0.288, 0.016, 0.015, 1.151, 0.144
256, 0.105, 0.019, 0.026, 0.289, 0.015, 0.016, 1.139, 0.145
256, 0.105, 0.020, 0.026, 0.289, 0.016, 0.015, 1.184, 0.146
256, 0.105, 0.019, 0.026, 0.284, 0.015, 0.015, 1.145, 0.143
256, 0.104, 0.019, 0.026, 0.283, 0.016, 0.015, 1.161, 0.145
512, 0.287, 0.052, 0.067, 1.098, 0.039, 0.055, 4.536, 0.413
512, 0.290, 0.054, 0.067, 1.160, 0.039, 0.058, 5.072, 0.465
512, 0.287, 0.054, 0.068, 1.105, 0.039, 0.059, 4.737, 0.417
512, 0.288, 0.053, 0.073, 1.094, 0.039, 0.056, 4.551, 0.415
512, 0.287, 0.053, 0.067, 1.085, 0.039, 0.055, 4.553, 0.415
